City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,al wajh,26.2455,36.4525,21.97,26,0,2.57,SA,1715130901
107,petauke,-14.2426,31.3253,17.23,75,0,3.2,ZM,1715130901
108,port augusta,-32.5,137.7667,21.19,36,94,4.04,AU,1715130902
109,dhuusamarreeb,5.535,46.3861,26.04,80,59,6.79,SO,1715130902
110,bayramaly,37.6185,62.1671,21.86,42,100,2.3,TM,1715130902
111,riosucio,5.4216,-75.7032,18.07,99,100,0.89,CO,1715130902
112,luis correia,-2.8792,-41.6669,25.57,92,43,3.61,BR,1715130902
113,tsengel,49.4783,100.8894,8.15,49,100,3.22,MN,1715130903
114,punta arenas,-53.15,-70.9167,3.06,81,75,4.12,CL,1715130903
115,juan griego,11.0817,-63.9655,26.51,86,14,5.06,VE,1715130903
116,awjilah,29.1081,21.2869,22.0,26,6,4.32,LY,1715130903
117,enewetak,11.3474,162.3373,27.88,79,56,9.1,MH,1715130903
118,qaqortoq,60.7167,-46.0333,-0.3,60,97,1.03,GL,1715130904
119,robore,-18.3333,-59.75,25.8,64,24,2.25,BO,1715130904
120,puerto natales,-51.7236,-72.4875,-1.04,88,100,1.14,CL,1715130904
121,south hedland,-20.4089,118.5983,29.96,32,0,4.63,AU,1715130904
122,lompoc,34.6391,-120.4579,21.55,67,0,8.94,US,1715130863
123,thanh hoa,19.8,105.7667,28.51,75,100,1.53,VN,1715130905
124,kerikeri,-35.2268,173.9474,16.99,50,4,3.35,NZ,1715130905
125,talnakh,69.4865,88.3972,-11.0,93,41,2.6,RU,1715130905
126,nova sintra,14.8667,-24.7167,23.92,73,2,5.8,CV,1715130905
127,utrik,11.2278,169.8474,27.34,78,19,9.35,MH,1715130905
128,olyokminsk,60.3736,120.4264,4.86,61,100,6.48,RU,1715130906
129,faya-largeau,17.9257,19.1043,31.33,15,0,6.97,TD,1715130906
130,pedernales,18.0384,-71.744,27.98,76,0,1.03,DO,1715130906
131,kingston,17.997,-76.7936,28.53,84,20,2.06,JM,1715130907
132,ilulissat,69.2167,-51.1,-4.99,80,100,2.06,GL,1715130907
133,lebu,-37.6167,-73.65,7.67,76,3,1.63,CL,1715130907
134,bubaque,11.2833,-15.8333,26.35,73,5,4.91,GW,1715130907
135,happy valley-goose bay,53.3168,-60.3315,3.17,70,100,6.69,CA,1715130907
136,pisco,-13.7,-76.2167,19.03,88,30,6.69,PE,1715130908
137,kayangel,8.0823,134.7173,28.39,74,27,3.85,PW,1715130908
138,slave lake,55.2834,-114.769,10.99,46,100,3.6,CA,1715130908
139,qarqin,37.4185,66.0436,27.04,28,87,5.54,AF,1715130908
140,kribi,2.95,9.9167,27.52,89,100,3.54,CM,1715130908
141,san luis de la loma,17.2706,-100.8939,27.06,60,16,4.96,MX,1715130909
142,saldanha,-33.0117,17.9442,12.03,87,0,3.65,ZA,1715130909
143,antsiranana,-12.2787,49.2917,24.27,83,53,7.62,MG,1715130909
144,toliara,-23.35,43.6667,22.18,70,0,4.69,MG,1715130909
145,cape canaveral,28.4058,-80.6048,26.71,79,0,5.66,US,1715130909
146,kodiak,57.79,-152.4072,4.73,93,100,1.54,US,1715130910
147,olney,39.1532,-77.0669,22.04,87,0,2.57,US,1715130910
148,wetaskiwin,52.9668,-113.3687,8.34,92,100,9.47,CA,1715130910
149,ciudad lazaro cardenas,17.9583,-102.2,25.79,67,100,4.79,MX,1715130780
150,east london,-33.0153,27.9116,21.77,80,100,8.44,ZA,1715130679
151,port mathurin,-19.6833,63.4167,25.48,64,68,11.11,MU,1715130910
152,puerto deseado,-47.7503,-65.8938,4.24,92,100,6.02,AR,1715130911
153,banda aceh,5.5577,95.3222,28.42,77,100,0.99,ID,1715130911
154,colares,38.7992,-9.4469,19.38,61,100,4.28,PT,1715130911
155,kimberley,-28.7323,24.7623,14.83,44,0,4.12,ZA,1715130911
156,remire-montjoly,4.9167,-52.2667,27.02,89,75,2.06,GF,1715130911
157,el calafate,-50.3408,-72.2768,-0.98,68,100,1.16,AR,1715130912
158,opuwo,-18.0607,13.84,15.71,57,0,0.51,NA,1715130912
159,sitka,57.0531,-135.33,6.11,92,100,3.5,US,1715130912
160,thompson,55.7435,-97.8558,10.09,57,20,5.14,CA,1715130912
161,santa terezinha,-29.9002,-50.0904,22.98,85,100,2.92,BR,1715130913
162,gao,16.6362,1.637,32.16,20,100,4.31,ML,1715130913
163,igrim,63.1906,64.4162,-3.27,95,100,3.02,RU,1715130913
164,kilindoni,-7.9139,39.6668,26.96,78,82,7.18,TZ,1715130913
165,shiqian,27.5225,108.2281,18.58,81,100,0.16,CN,1715130914
166,avarua,-21.2078,-159.775,28.03,89,100,3.09,CK,1715130914
167,araban,37.4267,37.689,12.4,67,0,4.32,TR,1715130914
168,kurchum,48.5722,83.6542,15.49,50,100,1.69,KZ,1715130914
169,akjoujt,19.6969,-14.4164,29.03,14,0,4.8,MR,1715130914
170,palmela,38.569,-8.9013,18.31,82,0,3.09,PT,1715130915
171,ugoofaaru,5.6667,73.0,28.97,79,100,4.95,MV,1715130915
172,hithadhoo,-0.6,73.0833,28.97,78,59,4.99,MV,1715130915
173,zalingei,12.9096,23.4741,28.03,15,34,4.62,SD,1715130916
174,tralee,52.2704,-9.7026,9.22,90,100,1.43,IE,1715130916
175,makurazaki,31.2667,130.3167,18.5,66,0,6.19,JP,1715130916
